I[A]	Bz[T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
10	-9.02403024593843E-03
20	-1.80479264726914E-02
30	-2.70705942347302E-02
40	-3.60883979877854E-02
60	-5.40622911879253E-02
80	-7.19008474495235E-02
100	-8.95937004058776E-02
125	-0.111507735313387
150	-0.133198761793212
180	-0.157113430087552
210	-0.179109728694342
240	-0.194680326890717
