fieldmap_name:     	Calibration Bz
timestamp:         	2021-04-20_12-38-47
filename:          	2021-04-20_Calibration_Bz_I=10A_Y=0mm_X=-25_25mm_Z=-15_15mm.txt
MagNet_file:       	Calibration_Bz.mn
nr_magnets:        	1

magnet_name:       	Calibration
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-25	0	-15	2.58680588768147E-04	9.58273554790263E-07	-5.80011900481089E-03
-24	0	-15	2.01730744100532E-04	1.19231021882023E-07	-5.76168892788371E-03
-23	0	-15	1.5749732716261E-04	-1.94618589663982E-06	-5.72999464853668E-03
-22	0	-15	1.29920705078392E-04	-2.6861016945239E-07	-5.70330296966484E-03
-21	0	-15	1.01249887362845E-04	3.89197390813771E-07	-5.68367935974515E-03
-20	0	-15	8.15125682493347E-05	-1.25521812224701E-06	-5.66432459037167E-03
-19	0	-15	6.47619599147595E-05	2.40817076637983E-06	-5.64743229733007E-03
-18	0	-15	5.3654458484341E-05	2.2460655973122E-06	-5.63578951899894E-03
-17	0	-15	4.4753073602783E-05	-3.02622615648265E-06	-5.62919080564335E-03
-16	0	-15	4.01802735565288E-05	-6.6195549030377E-06	-5.61919709070822E-03
-15	0	-15	3.13311404226023E-05	3.31011483922816E-06	-5.61119999936389E-03
-14	0	-15	2.84309176053432E-05	8.5392175192551E-07	-5.60555004133592E-03
-13	0	-15	2.49344214284504E-05	2.16995200348486E-06	-5.60335976231931E-03
-12	0	-15	2.19077887229314E-05	1.32121025993245E-06	-5.59940777294969E-03
-11	0	-15	2.05873799577079E-05	1.13846645380581E-06	-5.59861796667855E-03
-10	0	-15	1.87583477730596E-05	2.45474243045952E-06	-5.5955869627882E-03
-9	0	-15	1.37176487795417E-05	8.01167242707556E-07	-5.59132787001195E-03
-8	0	-15	1.24779972909329E-05	1.1448457959386E-06	-5.58723299050234E-03
-7	0	-15	1.29313648613479E-05	2.83560041613279E-06	-5.5881097658394E-03
-6	0	-15	1.27583825509121E-05	-2.09511312304741E-06	-5.58968859310147E-03
-5	0	-15	1.14818316019125E-05	2.18530405613206E-06	-5.58780449403528E-03
-4	0	-15	1.48205460632666E-05	6.06103985937466E-06	-5.58530660235145E-03
-3	0	-15	1.16426044166115E-05	1.9642641409945E-07	-5.58790341668378E-03
-2	0	-15	9.97050384520563E-06	2.45070800072918E-06	-5.58882376768975E-03
-1	0	-15	8.82222728046637E-06	1.66383495959617E-06	-5.58778493365788E-03
0	0	-15	9.95613543130833E-06	3.41680776005185E-06	-5.58849096228907E-03
1	0	-15	1.01893041022661E-05	-5.60600152915372E-07	-5.58817640409338E-03
2	0	-15	1.02844056202338E-05	5.79263306929474E-07	-5.58702280229388E-03
3	0	-15	1.1340526163131E-05	2.40043879504636E-06	-5.58606317621035E-03
4	0	-15	1.0083013730877E-05	1.74120271369283E-06	-5.58889844600034E-03
5	0	-15	9.94047847949466E-06	5.14782093494723E-07	-5.59117595570856E-03
6	0	-15	9.19971704688968E-06	2.19395622767384E-06	-5.59056396543727E-03
7	0	-15	5.762417294595E-06	9.6174956376449E-07	-5.58629969291003E-03
8	0	-15	5.0955805806159E-06	-4.78959175861638E-06	-5.58450626008269E-03
9	0	-15	1.14970099513748E-05	2.28247318803737E-06	-5.58777893028613E-03
10	0	-15	7.29004858189745E-06	1.78240286123285E-06	-5.59419472178266E-03
11	0	-15	6.10563183090012E-06	-9.689765796986E-06	-5.5973400479012E-03
12	0	-15	7.42859955616909E-06	-1.28493196530833E-07	-5.59754171603339E-03
13	0	-15	3.65800341784652E-06	-5.89247536332915E-06	-5.59739578874918E-03
14	0	-15	3.12968746764558E-07	2.97750859629374E-06	-5.59686398718536E-03
15	0	-15	6.1675054900147E-07	2.44713203265336E-06	-5.59705458558289E-03
16	0	-15	3.86843819938957E-07	6.19054133486733E-07	-5.60194235644999E-03
17	0	-15	-1.40579726751974E-06	2.03449611013905E-06	-5.60464096747454E-03
18	0	-15	-3.72967229773518E-06	1.56619128115414E-06	-5.60963571316235E-03
19	0	-15	-5.53157888831318E-06	-1.45128320555169E-06	-5.61434311344822E-03
20	0	-15	-1.45148218828007E-05	4.13279084353259E-06	-5.61762797013583E-03
21	0	-15	-1.74856214030461E-05	2.90718427221412E-06	-5.62132730095783E-03
22	0	-15	-2.27953118984792E-05	2.06097385865709E-06	-5.63004764919072E-03
23	0	-15	-2.99939052136455E-05	1.41105507000008E-06	-5.63903020710286E-03
24	0	-15	-4.0159899468644E-05	2.32503751057039E-06	-5.64976795428722E-03
25	0	-15	-5.13484075184285E-05	1.97894162840537E-06	-5.66183601117192E-03
-25	0	-14	3.01480838332297E-04	1.05941457888585E-06	-6.93860386786043E-03
-24	0	-14	2.37791765351399E-04	-1.21461129615393E-07	-6.89884278243848E-03
-23	0	-14	1.88694863961365E-04	2.04678742255057E-06	-6.86530289923984E-03
-22	0	-14	1.5240755151831E-04	1.53616589187781E-06	-6.83689438641221E-03
-21	0	-14	1.20815556641222E-04	4.31847196053513E-07	-6.81415632597235E-03
-20	0	-14	9.8054811071866E-05	7.24941103185785E-07	-6.79599644824313E-03
-19	0	-14	7.92264439335088E-05	1.34502071751771E-06	-6.77970400777289E-03
-18	0	-14	6.58129567562756E-05	8.89007355247315E-07	-6.76646510123723E-03
-17	0	-14	5.43354125428727E-05	-2.50232330899009E-07	-6.7550858592714E-03
-16	0	-14	4.56849788646124E-05	5.31454592752539E-07	-6.74559476531591E-03
-15	0	-14	3.83157982887962E-05	4.31197630963839E-07	-6.73896639158995E-03
-14	0	-14	3.25968389587638E-05	-9.93907675816465E-07	-6.73354167011594E-03
-13	0	-14	2.78009003426529E-05	2.0669011774831E-06	-6.72834816723054E-03
-12	0	-14	2.49255386129434E-05	1.88397406720522E-08	-6.72453374498667E-03
-11	0	-14	2.32387527924356E-05	-2.19404380261052E-07	-6.72163685475823E-03
-10	0	-14	2.1003877944575E-05	1.12178255569774E-06	-6.71992018506612E-03
-9	0	-14	1.73683829112586E-05	-4.1870622435417E-07	-6.71829884476968E-03
-8	0	-14	1.47096570994669E-05	2.31165205793641E-07	-6.71535895596942E-03
-7	0	-14	1.34591959047885E-05	1.81666652742524E-06	-6.71366186995396E-03
-6	0	-14	1.38688737229602E-05	7.26339950732982E-08	-6.71333005879271E-03
-5	0	-14	1.33639126663499E-05	-2.75839756397052E-07	-6.71245176346523E-03
-4	0	-14	1.30950449228826E-05	-3.35917887412259E-07	-6.71229588345418E-03
-3	0	-14	1.1911808439241E-05	2.91440452419029E-07	-6.71259488083268E-03
-2	0	-14	1.05150507990034E-05	1.02828808632016E-06	-6.71243738747633E-03
-1	0	-14	9.45515643537649E-06	6.75332152909437E-07	-6.71185443020293E-03
0	0	-14	9.73602767649779E-06	-1.1355190484467E-07	-6.7123302765974E-03
1	0	-14	1.05251315500537E-05	4.86083529903032E-07	-6.71249170008665E-03
2	0	-14	1.0432581417703E-05	4.56605355232468E-07	-6.71272734551834E-03
3	0	-14	9.95410165051946E-06	6.79679115514785E-07	-6.71345988482339E-03
4	0	-14	9.53580716643995E-06	1.21368516635386E-06	-6.7136785354548E-03
5	0	-14	9.49943990487858E-06	1.12846495407036E-06	-6.71413693710724E-03
6	0	-14	8.53002946127197E-06	1.14478724680414E-06	-6.71532978000683E-03
7	0	-14	7.39468406269087E-06	-1.90821659749535E-07	-6.71646856121932E-03
8	0	-14	6.49430467914916E-06	-1.39500281490115E-07	-6.71612308467222E-03
9	0	-14	7.44608184186311E-06	1.13822323731882E-06	-6.71791694324463E-03
10	0	-14	5.09572704522779E-06	-6.12102684301905E-08	-6.72001985539745E-03
11	0	-14	4.17990791699115E-06	1.41046246895564E-06	-6.71919382389941E-03
12	0	-14	4.61445039407216E-06	1.31992351796607E-06	-6.72113625760176E-03
13	0	-14	2.07739973647026E-06	-5.26452140510832E-07	-6.72390377602073E-03
14	0	-14	-1.86684145598729E-07	1.28991240208158E-06	-6.72604692051763E-03
15	0	-14	-1.56611570843571E-06	7.46434592435708E-07	-6.72747600515009E-03
16	0	-14	-2.26706127669927E-06	-9.15068369393936E-07	-6.73024863994027E-03
17	0	-14	-4.71927313984571E-06	5.15190327210079E-07	-6.73305797169208E-03
18	0	-14	-7.9975660728681E-06	1.13655154133041E-06	-6.73645537821828E-03
19	0	-14	-1.09936378672904E-05	-4.97981368972453E-07	-6.74152349126466E-03
20	0	-14	-1.76656420065288E-05	1.21734783684443E-06	-6.74760135126643E-03
21	0	-14	-2.41606061588071E-05	8.55004506353419E-07	-6.75272292606481E-03
22	0	-14	-3.0904019238766E-05	-2.42037297306039E-07	-6.76024805704876E-03
23	0	-14	-3.96807861911204E-05	1.49559631127683E-06	-6.76976161882765E-03
24	0	-14	-5.15899805139246E-05	9.78035742048625E-07	-6.78061492707198E-03
25	0	-14	-6.57200153253577E-05	5.16637742797672E-07	-6.79418119462116E-03
-25	0	-13	3.42889413345863E-04	-2.10032386237996E-07	-7.79230342806086E-03
-24	0	-13	2.73304726671069E-04	-8.13784805795013E-07	-7.75590713859359E-03
-23	0	-13	2.19138111860396E-04	-9.49731844591765E-07	-7.72498891757731E-03
-22	0	-13	1.7616874956731E-04	-7.42849462941532E-07	-7.69897859522188E-03
-21	0	-13	1.42136049183199E-04	8.97186598685245E-07	-7.67692867947954E-03
-20	0	-13	1.15169558942816E-04	8.73033494626533E-07	-7.65832669773179E-03
-19	0	-13	9.39537209745156E-05	-2.4548732709746E-07	-7.6428661180546E-03
-18	0	-13	7.78428247381914E-05	-9.27321598895635E-07	-7.62996086966098E-03
-17	0	-13	6.45192745292447E-05	-5.41730861097687E-07	-7.61920892163037E-03
-16	0	-13	5.34110015663705E-05	-7.44828276752147E-07	-7.61053698390591E-03
-15	0	-13	4.45879654066284E-05	-8.46987404992887E-07	-7.60338302787869E-03
-14	0	-13	3.78413907744556E-05	-1.08318649629474E-06	-7.59751544789193E-03
-13	0	-13	3.28081246893002E-05	-3.67345440633291E-07	-7.59277252411227E-03
-12	0	-13	2.88345727056625E-05	-2.80538631126535E-07	-7.58864658716586E-03
-11	0	-13	2.53913848271098E-05	2.58541035863022E-07	-7.58579726805007E-03
-10	0	-13	2.24750460564009E-05	9.2291878736287E-07	-7.58383831630135E-03
-9	0	-13	1.93346229027948E-05	-6.19650145575733E-07	-7.58207409899596E-03
-8	0	-13	1.66103580090807E-05	1.29652309251146E-06	-7.58060079673319E-03
-7	0	-13	1.51109806445461E-05	-1.08198921907338E-07	-7.57878545934644E-03
-6	0	-13	1.46536896067571E-05	-5.55269243629569E-07	-7.57780529823182E-03
-5	0	-13	1.39017507355123E-05	-4.6088751268673E-07	-7.57712444596693E-03
-4	0	-13	1.27955696988187E-05	-5.1145034919982E-07	-7.57720013895657E-03
-3	0	-13	1.16652634772707E-05	-2.49991462115514E-07	-7.57691246536687E-03
-2	0	-13	1.0891820181836E-05	7.5477070988066E-07	-7.5773717203244E-03
-1	0	-13	9.65762780553434E-06	-4.81300139006376E-07	-7.57700791103926E-03
0	0	-13	9.63919455265647E-06	8.84274875884641E-07	-7.57716446799788E-03
1	0	-13	9.98395420365883E-06	-1.66229980533649E-07	-7.57732542828464E-03
2	0	-13	9.67483939012508E-06	-8.19453946522672E-07	-7.57805348515291E-03
3	0	-13	9.41221340154524E-06	-1.8921581374127E-07	-7.57836580687024E-03
4	0	-13	8.82801674584679E-06	-2.50640975208571E-07	-7.57895443513746E-03
5	0	-13	8.18580243462619E-06	2.86365071185477E-07	-7.5797320761519E-03
6	0	-13	7.46033776152939E-06	-6.53322602055951E-07	-7.58104588231817E-03
7	0	-13	6.49044540692119E-06	-2.68442986788184E-07	-7.58187522059929E-03
8	0	-13	6.08572081751893E-06	-6.01724063084661E-07	-7.58296081292448E-03
9	0	-13	5.66411687455579E-06	-1.54559623251942E-08	-7.58389489197437E-03
10	0	-13	4.30113393899782E-06	-3.24026824749326E-07	-7.58506599143044E-03
11	0	-13	3.28681795592028E-06	3.15819479149861E-07	-7.58579941281028E-03
12	0	-13	2.0848008167473E-06	4.81223208557631E-07	-7.58747849018774E-03
13	0	-13	1.72625979567682E-07	-5.24242439605935E-07	-7.58939650745688E-03
14	0	-13	-1.89802159623169E-06	3.3667947303697E-07	-7.59137708288949E-03
15	0	-13	-3.69402589529039E-06	9.17929511887201E-08	-7.59341330058273E-03
16	0	-13	-5.31636659309625E-06	-9.61821654453862E-08	-7.5960800484258E-03
17	0	-13	-8.114117935253E-06	-3.48617081957632E-07	-7.59891923208155E-03
18	0	-13	-1.20516386319791E-05	3.12148653406172E-07	-7.60323010113238E-03
19	0	-13	-1.6926367684953E-05	-2.28074239426606E-08	-7.6078326866929E-03
20	0	-13	-2.32832934953887E-05	-4.82603172784006E-07	-7.61356877004379E-03
21	0	-13	-3.03378208030413E-05	-6.76094361259889E-07	-7.61972308848023E-03
22	0	-13	-3.89255261075028E-05	-6.38531130915958E-07	-7.62692722208653E-03
23	0	-13	-5.01279742227008E-05	-8.01240195583346E-07	-7.63586817662047E-03
24	0	-13	-6.34526679148815E-05	-6.73353538619517E-08	-7.64645785063284E-03
25	0	-13	-8.03437181146331E-05	-5.76373203790061E-07	-7.65904866756138E-03
-25	0	-12	3.77835370604431E-04	-5.17587219149032E-09	-8.34471859471797E-03
