fieldmap_name:     	Calibration Bz
timestamp:         	2021-04-20_12-19-36
filename:          	2021-04-20_Calibration_Bz_I=40A_Y=0mm_X=-25_25mm_Z=-15_15mm.txt
MagNet_file:       	Calibration_Bz.mn
nr_magnets:        	1

magnet_name:       	Calibration
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-25	0	-15	1.03449537548695E-03	3.83239151396597E-06	-2.31955464661847E-02
-24	0	-15	8.06742468530852E-04	4.76942247636954E-07	-2.30418583915507E-02
-23	0	-15	6.2984540397216E-04	-7.78295264214983E-06	-2.29151078926826E-02
-22	0	-15	5.19561224914966E-04	-1.07420295214765E-06	-2.28083633681795E-02
-21	0	-15	4.04901001061132E-04	1.55651725236726E-06	-2.27298850599437E-02
-20	0	-15	3.25967316956655E-04	-5.01977673709641E-06	-2.26524819816761E-02
-19	0	-15	2.58977869725548E-04	9.63065882562112E-06	-2.25849265970841E-02
-18	0	-15	2.14556032285593E-04	8.98235123261579E-06	-2.25383648548309E-02
-17	0	-15	1.78956663760114E-04	-1.21022206039486E-05	-2.25119747062233E-02
-16	0	-15	1.60668121745666E-04	-2.64726023171424E-05	-2.24720080186499E-02
-15	0	-15	1.25277764625888E-04	1.32376293243537E-05	-2.24400257576522E-02
-14	0	-15	1.13677872713614E-04	3.41496660541274E-06	-2.24174299914167E-02
-13	0	-15	9.96934813271742E-05	8.6779347342266E-06	-2.24086699339105E-02
-12	0	-15	8.75880158018774E-05	5.28369132260027E-06	-2.23928644678737E-02
-11	0	-15	8.23059639023786E-05	4.55285518667671E-06	-2.23897049530831E-02
-10	0	-15	7.49897783497789E-05	9.81688102247491E-06	-2.23775825876196E-02
-9	0	-15	5.48294717662305E-05	3.20405198514907E-06	-2.23605487540176E-02
-8	0	-15	4.98702722204663E-05	4.57839065429009E-06	-2.23441715844827E-02
-7	0	-15	5.16814727938191E-05	1.13400273534422E-05	-2.23476768323086E-02
-6	0	-15	5.09878396634236E-05	-8.37868416887829E-06	-2.23539895470179E-02
-5	0	-15	4.58806931165841E-05	8.73930143802316E-06	-2.23464534246268E-02
-4	0	-15	5.92305398022226E-05	2.42389166901572E-05	-2.23364624775092E-02
-3	0	-15	4.65194031479795E-05	7.85445997206532E-07	-2.23468460582131E-02
-2	0	-15	3.98300258432133E-05	9.80062010743118E-06	-2.23505252234166E-02
-1	0	-15	3.5235414233472E-05	6.65382901131796E-06	-2.23463690905747E-02
0	0	-15	3.97675248024317E-05	1.36642359281605E-05	-2.23491908541422E-02
1	0	-15	4.06972001422689E-05	-2.24211369476541E-06	-2.23479310106695E-02
2	0	-15	4.10741403040321E-05	2.31638025916528E-06	-2.23433155266381E-02
3	0	-15	4.52951490445775E-05	9.59969569161827E-06	-2.23394760266237E-02
4	0	-15	4.02631348719848E-05	6.96328756029913E-06	-2.23508125557715E-02
5	0	-15	3.96897347437732E-05	2.05866160728944E-06	-2.23599183532658E-02
6	0	-15	3.6723856761579E-05	8.77393634912496E-06	-2.23574685474574E-02
7	0	-15	2.29741414152034E-05	3.84615333954724E-06	-2.23404124082892E-02
8	0	-15	2.03033750148022E-05	-1.91544324672927E-05	-2.23332368694308E-02
9	0	-15	4.58997959988134E-05	9.12792871948157E-06	-2.23463223031076E-02
10	0	-15	2.90714375043437E-05	7.12812359458629E-06	-2.23719766063589E-02
11	0	-15	2.43307283777675E-05	-3.87507239945647E-05	-2.23845518203747E-02
