fieldmap_name:     	Calibration Bz
timestamp:         	2021-04-26_08-56-02
filename:          	2021-04-26_Calibration_Bz_I=210A_Y=0mm_X=-17_17mm_Z=-17_17mm.txt
MagNet_file:       	Calibration_Bz.mn
nr_magnets:        	1

magnet_name:       	Calibration
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-17	0	-17	5.85657174945495E-04	4.01529119580251E-05	-6.38568974447726E-02
-16.5	0	-17	5.10550046250986E-04	4.06479649639853E-05	-6.38187946119031E-02
-16	0	-17	4.63572241499944E-04	-7.51543636938438E-06	-6.37772421635969E-02
-15.5	0	-17	4.80032195387069E-04	1.04134267938276E-05	-6.37261019071805E-02
-15	0	-17	4.9247509617987E-04	2.76330837718054E-05	-6.36792944273188E-02
-14.5	0	-17	4.3371443949412E-04	7.69082772490386E-06	-6.36401026588341E-02
-14	0	-17	3.86771776254722E-04	6.68732182727668E-06	-6.36094571026311E-02
-13.5	0	-17	3.50826284807775E-04	4.83327448556809E-06	-0.063583836896011
-13	0	-17	3.26754077355459E-04	2.59655825702106E-05	-6.35721117280288E-02
-12.5	0	-17	3.19794884217717E-04	-4.3681049378111E-06	-6.35738402355956E-02
-12	0	-17	3.47803320237054E-04	3.08026107049768E-05	-6.35331334095198E-02
-11.5	0	-17	3.66453883981084E-04	-2.68725134755392E-06	-6.34902148742449E-02
-11	0	-17	3.34494568653715E-04	2.91076104548953E-06	-6.34619268899495E-02
-10.5	0	-17	2.89302347559479E-04	2.08367960319615E-05	-6.34391209639724E-02
-10	0	-17	2.53528260397663E-04	2.71430960993858E-05	-0.063440186900575
-9.5	0	-17	2.49545720551059E-04	3.08201880131115E-05	-6.34420562941078E-02
-9	0	-17	2.48997476250946E-04	-4.17483730813819E-05	-6.34246976508005E-02
-8.5	0	-17	2.51142616952276E-04	-4.17122917542179E-06	-6.34240712755981E-02
-8	0	-17	2.37649096122394E-04	-5.84437240083262E-06	-6.34079608528782E-02
-7.5	0	-17	2.28544307718789E-04	7.03668992476659E-07	-6.34024998961685E-02
-7	0	-17	2.27585186687734E-04	2.38130743808817E-05	-6.33852711341219E-02
-6.5	0	-17	2.21686906880068E-04	1.37880766576752E-05	-6.33734757051083E-02
-6	0	-17	2.2305865093208E-04	1.21849408807768E-05	-6.33680085673029E-02
-5.5	0	-17	2.17850916731976E-04	2.79818134282684E-05	-6.33726705378245E-02
