fieldmap_name:     	Calibration Bx
timestamp:         	2021-04-20_09-52-22
filename:          	2021-04-20_Calibration_Bx_I=30A_Y=0mm_X=-15_15mm_Z=-25_25mm.txt
MagNet_file:       	Calibration_Bx.mn
nr_magnets:        	1

magnet_name:       	Calibration
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-15	0	-25	-0.016599512698283	9.03252897592779E-06	2.08558028099395E-04
-14	0	-25	-1.99313298750665E-02	5.46089160057949E-06	2.57104935761462E-04
-13	0	-25	-2.25676158546294E-02	-2.79259373083574E-06	3.05171499545822E-04
-12	0	-25	-2.44112311520379E-02	-1.7468452320794E-06	3.47090626351252E-04
-11	0	-25	-2.55975103936107E-02	-1.41452128021718E-06	3.80277494578281E-04
-10	0	-25	-2.63190710237782E-02	-8.07835996603967E-07	4.02958489396131E-04
-9	0	-25	-0.026734534545491	-8.22914326316126E-07	4.12763060079304E-04
-8	0	-25	-2.69555362808698E-02	-5.14076014725878E-07	4.08878116986757E-04
-7	0	-25	-2.70567773806076E-02	-1.7104094461257E-07	3.9135629305093E-04
-6	0	-25	-2.70865772096903E-02	-1.87377778521542E-07	3.61080583151927E-04
-5	0	-25	-2.70765359961204E-02	1.14161441387582E-07	3.19298311477518E-04
-4	0	-25	-2.70476866750148E-02	2.48315367345656E-08	2.67526311435932E-04
-3	0	-25	-2.70137599796686E-02	-5.32235772757825E-08	2.07721028768601E-04
-2	0	-25	-2.69840626044812E-02	-5.95102756219968E-08	1.4178347632456E-04
-1	0	-25	-2.69640794538754E-02	-1.69311027367618E-08	7.17112594806318E-05
0	0	-25	-2.69569262897781E-02	1.18562394367195E-08	-4.09433753872741E-07
1	0	-25	-2.69636500982517E-02	1.77966513918247E-08	-7.25216399984649E-05
2	0	-25	-2.69832006569343E-02	1.33749252453222E-08	-1.42511157026415E-04
3	0	-25	-2.70124718813481E-02	3.51378290862208E-09	-2.08333920766081E-04
4	0	-25	-2.70459178295281E-02	-7.20590999565391E-08	-2.67944629371187E-04
5	0	-25	-2.70743393699403E-02	9.99698285416082E-08	-3.1945026463351E-04
6	0	-25	-2.70839060975187E-02	3.39901622739292E-07	-3.61001727955251E-04
7	0	-25	-2.70536889307695E-02	2.59069867144584E-07	-3.90974128898648E-04
8	0	-25	-2.69519179213086E-02	8.2196535189162E-07	-4.0808957373179E-04
9	0	-25	-2.67301780558454E-02	1.13801874583179E-06	-4.11730942875915E-04
10	0	-25	-2.63147791062019E-02	1.86619327288359E-06	-4.01942878463499E-04
11	0	-25	-2.55934410067815E-02	3.02093512215831E-06	-3.78976891843068E-04
12	0	-25	-2.44055670469655E-02	1.64859550874703E-06	-3.44144292672146E-04
13	0	-25	-2.25640612513822E-02	1.70184580794981E-07	-3.00611910517054E-04
14	0	-25	-1.99307364855558E-02	-2.3653990461869E-06	-2.53023846772818E-04
15	0	-25	-1.66036070424131E-02	4.52028643976354E-06	-2.05657086890135E-04
-15	0	-24	-1.65525277296629E-02	7.50639857715326E-06	1.64825005103868E-04
-14	0	-24	-0.019883641940327	4.89153879817742E-06	2.05724025057094E-04
-13	0	-24	-2.25268722517567E-02	1.27169871595412E-06	2.45496043186356E-04
-12	0	-24	-0.024376527554468	-1.63422628178826E-06	2.80578250592305E-04
-11	0	-24	-2.55722669808969E-02	-3.02087333634636E-06	3.09172586393579E-04
-10	0	-24	-2.63027356302586E-02	1.02006375156508E-06	3.28113574833737E-04
-9	0	-24	-2.67308785527285E-02	-1.27632812756378E-06	3.372787096504E-04
-8	0	-24	-2.69649468067683E-02	-7.77247317468308E-07	3.35027340108368E-04
-7	0	-24	-2.70780919808145E-02	-8.48389949533157E-08	3.2154537363511E-04
-6	0	-24	-2.71190877162043E-02	-1.11889051625007E-07	2.97473789699867E-04
-5	0	-24	-0.027119055578686	-3.64067670055076E-08	2.63699415765855E-04
-4	0	-24	-2.70985846172436E-02	-1.019600409206E-07	2.21439407647863E-04
-3	0	-24	-2.70713062121765E-02	1.22020163624092E-08	1.72227222231167E-04
-2	0	-24	-2.70464000049266E-02	-3.7068536825188E-08	1.1765739344997E-04
-1	0	-24	-2.70293043389272E-02	-1.73615381070265E-08	5.95350102626894E-05
0	0	-24	-2.70231035261446E-02	-1.20624764598929E-08	-3.82938427945403E-07
1	0	-24	-2.70288092075179E-02	-2.16212301444858E-08	-6.02799182619063E-05
2	0	-24	-2.70454654291908E-02	1.59417922184279E-08	-1.18339423143907E-04
3	0	-24	-2.70699307000024E-02	8.94823499380313E-08	-1.72763113728031E-04
4	0	-24	-2.70965906683233E-02	1.22547246177776E-07	-2.21843681078587E-04
5	0	-24	-2.71166060993067E-02	1.28835187996694E-07	-2.63860410381338E-04
6	0	-24	-2.71161993613347E-02	3.97658112479609E-07	-2.97395240717391E-04
7	0	-24	-2.70746311236851E-02	5.27363065766176E-07	-3.21296194727221E-04
8	0	-24	-0.026960576808019	4.56523068886928E-07	-3.34279997985855E-04
9	0	-24	-2.67260680485445E-02	7.09942981835042E-08	-3.3622670326684E-04
10	0	-24	-0.02629764370929	1.79668935598943E-06	-3.26912892087017E-04
11	0	-24	-2.55644184331633E-02	1.89233863341736E-06	-3.07546854668265E-04
12	0	-24	-2.43691606176446E-02	1.82618672177292E-06	-2.79352884106483E-04
13	0	-24	-2.25225420010587E-02	2.89536359223322E-06	-2.44914308340982E-04
14	0	-24	-1.98867549722164E-02	3.17933970426483E-06	-2.04547147404557E-04
15	0	-24	-1.65551496780259E-02	-7.64789553615253E-06	-1.66947919874196E-04
-15	0	-23	-1.65162934613349E-02	4.33116523069074E-06	1.26254128059729E-04
-14	0	-23	-1.98458119839892E-02	4.03876628590304E-07	1.64033736556342E-04
-13	0	-23	-2.24916983144819E-02	-1.22812197099551E-06	1.99755335603169E-04
-12	0	-23	-2.43468136500733E-02	-1.7398038711928E-06	2.29162063645851E-04
-11	0	-23	-2.55486368444988E-02	9.67113312811666E-07	2.51583354045947E-04
-10	0	-23	-2.62904556972191E-02	-1.00553869219165E-06	2.66933227939795E-04
-9	0	-23	-2.67281348507152E-02	-6.34433461956309E-07	2.74725812193446E-04
-8	0	-23	-2.69711711371419E-02	6.19878625092023E-07	2.74067398884541E-04
-7	0	-23	-2.70948741569678E-02	-3.92262766178922E-07	2.63702173429028E-04
-6	0	-23	-2.71451988436809E-02	-1.22784169493386E-07	2.44532483405239E-04
-5	0	-23	-2.71535534998819E-02	-2.18589490511529E-07	2.17183224941857E-04
