fieldmap_name:     	Calibration Bx
timestamp:         	2021-04-20_09-33-35
filename:          	2021-04-20_Calibration_Bx_I=60A_Y=0mm_X=-15_15mm_Z=-25_25mm.txt
MagNet_file:       	Calibration_Bx.mn
nr_magnets:        	1

magnet_name:       	Calibration
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-15	0	-25	-3.31492638554152E-02	1.8037860149459E-05	4.17417709460836E-04
-14	0	-25	-3.98029183552774E-02	1.09055000403135E-05	5.14296980858111E-04
-13	0	-25	-4.50675989023705E-02	-5.57700540258052E-06	6.10212506261194E-04
-12	0	-25	-4.87493158763702E-02	-3.48853198911142E-06	6.93848841159856E-04
-11	0	-25	-5.11183333455416E-02	-2.82526436383474E-06	7.60047889379584E-04
-10	0	-25	-5.25593085482844E-02	-1.61340805645361E-06	8.05268634645146E-04
-9	0	-25	-5.33890082502382E-02	-1.6434491112962E-06	8.24777408206024E-04
-8	0	-25	-5.38303665931738E-02	-1.02649852729592E-06	8.16952919118538E-04
-7	0	-25	-5.40325620697754E-02	-3.41117853619188E-07	7.81900220836688E-04
-6	0	-25	-5.40920890898261E-02	-3.74474840830522E-07	7.21381165050308E-04
-5	0	-25	-5.40720517414191E-02	2.28371470008762E-07	6.37890516278715E-04
-4	0	-25	-5.40144498378675E-02	5.13093672329235E-08	5.34448049372042E-04
-3	0	-25	-5.39467090008367E-02	-1.04572560944696E-07	4.14966301531021E-04
-2	0	-25	-5.38874135803117E-02	-1.19856112893691E-07	2.83238868985815E-04
-1	0	-25	-5.38475119783902E-02	-3.48425573294118E-08	1.43258975616001E-04
0	0	-25	-5.38332285508386E-02	2.20347872528645E-08	-8.1041292558852E-07
1	0	-25	-5.38466554280778E-02	3.50680921031443E-08	-1.44865725126176E-04
2	0	-25	-5.38856935001972E-02	2.60735246471147E-08	-2.84681778636987E-04
3	0	-25	-5.39441414393662E-02	6.73297718578666E-09	-4.16177285154345E-04
4	0	-25	-5.40109233439766E-02	-1.43578414467176E-07	-5.35269207998741E-04
5	0	-25	-5.40676688071233E-02	1.99188954163566E-07	-6.3817852996486E-04
6	0	-25	-5.40867586794695E-02	6.78641996728027E-07	-7.21211350987707E-04
7	0	-25	-5.40263986824539E-02	5.17359104746796E-07	-7.81124593133467E-04
8	0	-25	-5.38231440782093E-02	1.64155686760996E-06	-8.15366484935778E-04
9	0	-25	-5.33803106971573E-02	2.27269385602557E-06	-8.22704571195797E-04
10	0	-25	-5.25507392473448E-02	3.72684887426697E-06	-8.03228280159669E-04
11	0	-25	-5.11102078921088E-02	6.0327524989446E-06	-7.57438734030245E-04
12	0	-25	-4.87380040730839E-02	3.29254082650456E-06	-6.87954370298835E-04
13	0	-25	-4.50604988918356E-02	3.39817590972593E-07	-6.01097287203847E-04
14	0	-25	-3.98017321204025E-02	-4.72376380580115E-06	-5.06138703017247E-04
15	0	-25	-3.31574385036687E-02	9.02690136384438E-06	-4.11617152719239E-04
-15	0	-24	-3.30554990343468E-02	1.49905357555523E-05	3.30085655305791E-04
-14	0	-24	-3.97077561703698E-02	9.7685500196653E-06	4.11695320403516E-04
-13	0	-24	-0.044986307777486	2.53949379377315E-06	4.91048526222836E-04
-12	0	-24	-4.86800879553531E-02	-3.26376601497311E-06	5.61033873111226E-04
-11	0	-24	-5.10679963786666E-02	-6.03277975641664E-06	6.1806269798397E-04
-10	0	-24	-5.25267584291984E-02	2.0364215355507E-06	6.55816100009635E-04
-9	0	-24	-5.33817755940204E-02	-2.54958129503584E-06	6.74049621301013E-04
-8	0	-24	-5.38492234860568E-02	-1.5531781191355E-06	6.69486786336987E-04
-7	0	-24	-5.40751885996709E-02	-1.70660315280511E-07	6.42500049965825E-04
-6	0	-24	-5.41570704708632E-02	-2.24359202761883E-07	5.94369254726601E-04
-5	0	-24	-5.41570160279512E-02	-7.37744810465639E-08	5.26865038167258E-04
-4	0	-24	-5.41161471258933E-02	-2.03206928692908E-07	4.42417660375348E-04
-3	0	-24	-5.40616786845396E-02	2.74284299804756E-08	3.44086831221347E-04
-2	0	-24	-5.40119487440508E-02	-7.47425194550479E-08	2.35064725149093E-04
-1	0	-24	-5.39778133106083E-02	-3.51915245590624E-08	1.1894465279393E-04
0	0	-24	-5.39654314927897E-02	-2.48497958097429E-08	-7.61388177841431E-07
1	0	-24	-5.39768248479173E-02	-4.3596101263059E-08	-1.20422277583382E-04
2	0	-24	-5.40100837783283E-02	3.15219927875298E-08	-2.36415529004685E-04
3	0	-24	-5.40589362190719E-02	1.78114627504755E-07	-3.45150050959113E-04
4	0	-24	-5.41121686769755E-02	2.44328051502591E-07	-4.43215191349035E-04
5	0	-24	-5.41521296767914E-02	2.57171313416011E-07	-5.27176476232107E-04
6	0	-24	-0.054151305787118	7.93852379384047E-07	-5.94201994014956E-04
7	0	-24	-5.40682810391369E-02	1.05301251689791E-06	-6.41991865469749E-04
8	0	-24	-5.38405003977386E-02	9.11604476014312E-07	-6.6798336445135E-04
9	0	-24	-5.33721713275202E-02	1.41684850917723E-07	-6.71937505845498E-04
10	0	-24	-5.25165919346553E-02	3.58792492991101E-06	-6.534078987528E-04
11	0	-24	-5.10523244146397E-02	3.77908392244383E-06	-6.14806890991051E-04
12	0	-24	-4.86653768717689E-02	3.64687452913768E-06	-5.58578109687637E-04
13	0	-24	-4.49776605817289E-02	5.78210692689462E-06	-4.8987937732081E-04
14	0	-24	-3.97139722024004E-02	6.34915476634721E-06	-4.09338178498453E-04
15	0	-24	-3.30607344427332E-02	-1.52730188818716E-05	-3.3431955892474E-04
-15	0	-23	-3.29832003681268E-02	8.64960455144209E-06	2.53055807097871E-04
-14	0	-23	-3.96322774131811E-02	8.06656362597729E-07	3.28438902865088E-04
-13	0	-23	-4.49161372614386E-02	-2.45259613050058E-06	3.99706380548797E-04
-12	0	-23	-4.86208229610707E-02	-3.47461235613644E-06	4.58360013188672E-04
-11	0	-23	-0.051020879855853	1.93086013197889E-06	5.03063168654404E-04
-10	0	-23	-5.25023050919476E-02	-2.00832489954597E-06	5.336454262605E-04
-9	0	-23	-5.33763626856098E-02	-1.26769775560302E-06	5.49138137020137E-04
-8	0	-23	-5.38617173971686E-02	1.23734340863935E-06	5.47756938894101E-04
-7	0	-23	-5.41087638996538E-02	-7.83857304965383E-07	5.26994355590831E-04
-6	0	-23	-5.42092736083111E-02	-2.46001289910486E-07	4.88652191384125E-04
-5	0	-23	-5.42259663967492E-02	-4.3747778888484E-07	4.33980524066196E-04
-4	0	-23	-5.41994420952084E-02	-1.91592597030916E-07	3.6516641120738E-04
-3	0	-23	-5.41564560046222E-02	1.22541174748014E-07	2.84300850386256E-04
-2	0	-23	-5.41149538945982E-02	-4.16748282191135E-08	1.94448013181564E-04
-1	0	-23	-5.40858229258358E-02	-3.92690805760435E-08	9.83972703541347E-05
0	0	-23	-5.40750910583563E-02	1.31207134582769E-08	-7.34372538060897E-07
1	0	-23	-5.40848098326407E-02	3.73108669622922E-08	-9.98237028058733E-05
2	0	-23	-5.41129053717474E-02	6.32015488148834E-08	-1.95755694496372E-04
3	0	-23	-5.41533318827537E-02	-1.72423037616402E-07	-2.85436986528411E-04
4	0	-23	-5.41951878474166E-02	1.12723693109792E-07	-3.65934745744638E-04
5	0	-23	-5.42206516159468E-02	-7.96474573537644E-08	-4.34409582512154E-04
6	0	-23	-5.42030750458712E-02	6.01714542532919E-07	-4.88559683864771E-04
7	0	-23	-5.41011355694254E-02	5.24492758289E-07	-5.26332033034827E-04
8	0	-23	-5.38531634255872E-02	1.77195780739695E-06	-5.46265427077753E-04
9	0	-23	-5.33650656525946E-02	1.50796211766139E-06	-5.48169760386532E-04
10	0	-23	-5.24917347696102E-02	2.72335121826379E-06	-5.33366288541525E-04
11	0	-23	-5.10086172068108E-02	3.00295383347112E-06	-5.02287563353414E-04
12	0	-23	-0.048608291185774	3.12064574413957E-06	-4.56179415523601E-04
13	0	-23	-4.49102481700816E-02	-4.99986478922796E-06	-3.97389737119245E-04
14	0	-23	-3.96391391123271E-02	-8.08475582867324E-06	-3.27572153235442E-04
15	0	-23	-3.29930589286977E-02	-1.71878248493046E-05	-2.62283270329318E-04
-15	0	-22	-3.29272891250259E-02	1.06923116646789E-06	2.19262674517863E-04
-14	0	-22	-0.039564283477178	3.02244113888849E-06	2.69145549445511E-04
-13	0	-22	-4.48543323458937E-02	-1.92042679098936E-06	3.28369642606012E-04
-12	0	-22	-4.85770085389819E-02	-2.32714691579256E-06	3.77352552795488E-04
-11	0	-22	-5.09910033135968E-02	1.5199342267724E-06	4.09462957377977E-04
-10	0	-22	-5.24802419594289E-02	-2.01707959318669E-06	4.33005252212188E-04
-9	0	-22	-5.33672916453227E-02	-8.8032374666604E-07	4.4699376949009E-04
-8	0	-22	-5.38715796623135E-02	-1.64296510985176E-06	4.47193718174621E-04
-7	0	-22	-5.41350649120777E-02	-4.82811787801467E-07	4.31125865067129E-04
-6	0	-22	-5.42510999332249E-02	6.24758492193091E-07	4.00680675309127E-04
-5	0	-22	-5.42820278555003E-02	-2.28227668241786E-07	3.56533984122027E-04
-4	0	-22	-5.42676636704342E-02	-2.16856243399556E-07	3.00386868725835E-04
-3	0	-22	-0.054234489067961	-9.05066793782242E-08	2.34202518686067E-04
-2	0	-22	-0.054199987055704	1.39468417160948E-08	1.6030861941982E-04
-1	0	-22	-5.41750568982375E-02	2.20154288834625E-08	8.10679709017644E-05
0	0	-22	-5.41657912598707E-02	-8.99515346981052E-09	-7.50029701228684E-07
1	0	-22	-5.41739623355508E-02	-8.74051489657961E-08	-8.25289067530042E-05
2	0	-22	-5.41977397379872E-02	9.88594968625057E-08	-1.61611338975979E-04
3	0	-22	-5.42310952469987E-02	-1.17487634489011E-07	-2.35353835055673E-04
4	0	-22	-5.42631014193981E-02	7.21766971297713E-08	-3.01319278928493E-04
5	0	-22	-5.42763010323168E-02	2.64250195390049E-07	-3.57007446293467E-04
6	0	-22	-0.054244507716095	5.38461283587414E-07	-4.00748521990332E-04
7	0	-22	-5.41267578212892E-02	9.45667638079572E-07	-4.30576083799111E-04
8	0	-22	-5.38625734263735E-02	-4.11192103818246E-07	-4.45990710810508E-04
9	0	-22	-5.33584964510447E-02	1.68559121374838E-06	-4.46184325632188E-04
10	0	-22	-5.24697888267617E-02	1.60250331527399E-06	-4.32278491012131E-04
11	0	-22	-5.09779481732874E-02	4.38100462181229E-06	-4.07488248674556E-04
12	0	-22	-4.85604439263684E-02	1.95354244955222E-06	-3.74158174753797E-04
13	0	-22	-4.48471532734504E-02	1.46734561534965E-06	-3.22147717516513E-04
14	0	-22	-3.95733613594442E-02	-7.50453545942059E-06	-2.61029131434427E-04
15	0	-22	-3.29200037136271E-02	-1.80569930560333E-05	-2.17534894331545E-04
-15	0	-21	-3.28918855276644E-02	3.53374676500035E-05	1.73286028943133E-04
-14	0	-21	-3.95168850094525E-02	-1.58921385751318E-05	2.03054410674929E-04
-13	0	-21	-4.47990727285242E-02	3.79028996692573E-06	2.57754564535574E-04
-12	0	-21	-4.85411174353939E-02	-5.16692165625044E-06	3.007698364526E-04
-11	0	-21	-5.09671957765313E-02	-2.34710830945698E-06	3.29997742803779E-04
-10	0	-21	-5.24623703400624E-02	-2.96493236029871E-06	3.51022784106971E-04
-9	0	-21	-5.33617085675852E-02	-1.86854362758284E-06	3.63369579979282E-04
-8	0	-21	-5.38784315308393E-02	-8.10299022092627E-07	3.63967201775679E-04
-7	0	-21	-5.41552165177605E-02	-8.08257589102195E-07	3.51967254381472E-04
-6	0	-21	-5.42847619979968E-02	-1.35707392870213E-07	3.27597367507557E-04
-5	0	-21	-5.43275027032501E-02	-3.78155863418476E-07	2.92040632114428E-04
-4	0	-21	-5.43232288690308E-02	-2.48640472669791E-07	2.46436844563606E-04
-3	0	-21	-5.42983066562605E-02	-1.66840104984097E-07	1.92326277444865E-04
-2	0	-21	-5.42698913489794E-02	-3.96782528686255E-08	1.31669402477588E-04
-1	0	-21	-5.42486463696565E-02	2.38269609531624E-08	6.66038455611272E-05
0	0	-21	-5.42405532826061E-02	1.50842218458127E-09	-7.4747739035555E-07
1	0	-21	-5.42474641624655E-02	4.5033514139465E-08	-6.80721928385507E-05
2	0	-21	-5.42674611826551E-02	9.60455784293244E-08	-1.33059687366033E-04
3	0	-21	-5.42946626420953E-02	1.19398399855484E-07	-1.93518143918732E-04
4	0	-21	-5.43183110786414E-02	5.89739395225032E-08	-2.47406203995781E-04
5	0	-21	-0.054321601899256	3.61459324938519E-07	-2.92824512966348E-04
6	0	-21	-5.42776076159622E-02	5.77885314259725E-07	-3.27892028018457E-04
7	0	-21	-5.41467296277242E-02	4.35120585322569E-07	-3.51603502799493E-04
8	0	-21	-5.38692982849523E-02	9.62703898576622E-07	-3.6278054150136E-04
9	0	-21	-5.33511263019614E-02	1.16972761667912E-06	-3.6153105687084E-04
10	0	-21	-5.24513461081906E-02	1.64552806142205E-06	-3.48259956730681E-04
11	0	-21	-5.09537344459222E-02	5.87368609852692E-06	-3.28905943966679E-04
12	0	-21	-4.85236609566918E-02	1.55834859978603E-06	-3.00886447999191E-04
13	0	-21	-4.47928067741524E-02	8.41581406086532E-07	-2.57521142144906E-04
14	0	-21	-3.95219406006691E-02	-7.42715125983317E-06	-2.09130286773681E-04
15	0	-21	-3.29074165562212E-02	-1.3380749731875E-05	-1.69840148132545E-04
-15	0	-20	-3.28406840821326E-02	2.41351638239173E-05	1.49092422185027E-04
-14	0	-20	-3.94903196190246E-02	-6.39893399350549E-06	1.84533301269312E-04
-13	0	-20	-4.47565510808465E-02	-1.63374237927066E-05	2.12361131492172E-04
-12	0	-20	-4.85087072903338E-02	-1.92777010915001E-06	2.18362567237437E-04
-11	0	-20	-5.09385970477956E-02	-2.50589852143986E-06	2.57456646581799E-04
-10	0	-20	-5.24448171303787E-02	-3.6016190239237E-06	2.82990234116856E-04
-9	0	-20	-5.33551396886536E-02	-2.36357959188472E-06	2.94030008543995E-04
-8	0	-20	-5.38835988361552E-02	-1.18509939031066E-06	2.95228116356516E-04
-7	0	-20	-5.41719073038594E-02	-1.00863508417092E-06	2.86101537807441E-04
-6	0	-20	-5.43119220687782E-02	-3.18063178775711E-07	2.66989038433256E-04
-5	0	-20	-5.43643923881014E-02	-3.96110433306945E-07	2.38408326403094E-04
-4	0	-20	-5.43686301219676E-02	-2.01761792457848E-07	2.01431554458685E-04
-3	0	-20	-5.43505121871259E-02	1.59178765378608E-08	1.5734824363003E-04
-2	0	-20	-5.43271701941028E-02	-4.4558382948007E-08	1.07721901487347E-04
-1	0	-20	-5.43090802771661E-02	-2.63527724722891E-08	5.44201698167952E-05
0	0	-20	-5.43019944707394E-02	-8.47128309408605E-09	-8.06104512864102E-07
1	0	-20	-5.43078229993818E-02	3.10865498065715E-08	-5.60006599986254E-05
2	0	-20	-5.43246802606153E-02	9.1605434617163E-08	-1.09240416085448E-04
3	0	-20	-5.43467341190669E-02	1.83534133037806E-07	-1.58647291032352E-04
4	0	-20	-5.43634698702369E-02	2.89861916456958E-07	-2.02528002752719E-04
5	0	-20	-0.054357782085897	2.57193055044199E-07	-2.39191656628746E-04
6	0	-20	-5.43039516421403E-02	3.53906301649389E-07	-2.67321808469584E-04
7	0	-20	-5.41622658475983E-02	3.68528629738686E-07	-2.85881826314161E-04
8	0	-20	-5.38728096164994E-02	6.1791421109248E-07	-2.94161450205531E-04
9	0	-20	-5.33432515296542E-02	-9.82624010984594E-07	-2.91882398582482E-04
10	0	-20	-5.24347607488621E-02	8.85923644786337E-07	-2.81085475488547E-04
11	0	-20	-5.09270147923643E-02	1.71792434074406E-06	-2.56333368410816E-04
12	0	-20	-4.84889223913877E-02	4.08806307621464E-06	-2.24758682863878E-04
13	0	-20	-4.47525199934356E-02	8.53087949891327E-07	-1.87898295455213E-04
14	0	-20	-3.94828801583273E-02	-1.23100921266595E-05	-1.66397291561703E-04
15	0	-20	-3.28664623442426E-02	-4.89184497453421E-05	-1.27989454777452E-04
-15	0	-19	-3.28131428337414E-02	1.56456862278295E-05	1.29896515536419E-04
-14	0	-19	-3.94560105190148E-02	2.63558681168347E-05	1.33817765306161E-04
-13	0	-19	-4.47730800847295E-02	4.07956706353319E-05	1.29261173669989E-04
-12	0	-19	-4.84630061542755E-02	1.36975254066747E-05	1.66789070920627E-04
-11	0	-19	-5.09046962756539E-02	-3.54525153236168E-06	2.01756860685236E-04
-10	0	-19	-5.24276125621982E-02	-3.74300343806477E-06	2.24593035215577E-04
-9	0	-19	-5.33485068975829E-02	-1.43448533948236E-06	2.3552124753572E-04
-8	0	-19	-5.38863867530133E-02	-1.3671359575591E-06	2.37655098738409E-04
-7	0	-19	-5.41837790861263E-02	-7.60448080167985E-07	2.31380218973912E-04
-6	0	-19	-5.43333547153042E-02	-3.02172580146367E-07	2.16430912452004E-04
-5	0	-19	-0.054393953299451	-4.90013360351626E-07	1.93684468702678E-04
-4	0	-19	-5.44054164190392E-02	-1.9304175233837E-07	1.63939222700364E-04
-3	0	-19	-5.43931300506302E-02	-1.75604087456458E-09	1.28162501318331E-04
-2	0	-19	-5.43740444846648E-02	-1.80661308328477E-08	8.78034611906454E-05
-1	0	-19	-0.054358532766496	1.91827507812743E-08	4.42536042359234E-05
0	0	-19	-5.43523163568256E-02	7.84020467467986E-10	-8.67518287533884E-07
1	0	-19	-5.43572161531651E-02	3.74667337574212E-08	-4.59574029264097E-05
2	0	-19	-5.43714100167096E-02	1.16481224357302E-07	-8.94105078312378E-05
3	0	-19	-5.43891114053163E-02	1.52119446795816E-07	-1.29631994117136E-04
4	0	-19	-5.44000091918521E-02	1.99317877544339E-07	-1.65167073722496E-04
5	0	-19	-5.43872094585404E-02	1.01404546192468E-07	-1.94727585852098E-04
6	0	-19	-5.43247628289658E-02	5.06589015890745E-07	-2.17044722577276E-04
7	0	-19	-5.41740543524869E-02	3.72853203943813E-07	-2.314242273945E-04
8	0	-19	-5.38750668791976E-02	1.04417146560771E-06	-2.37324157714537E-04
9	0	-19	-5.33363099563724E-02	1.04537257905381E-06	-2.33922570844226E-04
10	0	-19	-5.24152785788755E-02	4.18115476572751E-08	-2.215173505495E-04
11	0	-19	-5.08933274593044E-02	-2.91222112538749E-06	-1.95979613263693E-04
12	0	-19	-4.84475832377534E-02	2.89546488327451E-06	-1.57812570629521E-04
13	0	-19	-4.47327978659691E-02	3.05921886924927E-05	-1.15716943321939E-04
14	0	-19	-3.94532202611036E-02	-6.07694488799005E-05	-9.22683676562874E-05
15	0	-19	-3.28047395416346E-02	-4.47240942809792E-05	-4.06689246490165E-05
-15	0	-18	-3.28347605507168E-02	8.1446102544736E-05	-2.49947027958148E-05
-14	0	-18	-0.039456643557926	2.25655673809174E-05	-8.52497710861544E-05
-13	0	-18	-4.47052762277141E-02	-1.31034350525014E-05	2.87749612868092E-05
-12	0	-18	-4.84259211151675E-02	-1.38450454702531E-06	1.19044711565525E-04
-11	0	-18	-5.08782434570829E-02	2.41734753181818E-07	1.5611643590023E-04
-10	0	-18	-5.24118975061766E-02	-3.09818206519366E-06	1.77354463164538E-04
-9	0	-18	-5.33419864485416E-02	-2.26716921411063E-06	1.87907787116067E-04
-8	0	-18	-5.38878714940964E-02	-3.35945541982976E-07	1.90661008582622E-04
-7	0	-18	-5.41934901594352E-02	-1.96764684083573E-07	1.86109016457562E-04
-6	0	-18	-5.43501026577458E-02	-8.31328789040479E-08	1.74801037711364E-04
-5	0	-18	-5.44176672670539E-02	1.26867518012209E-07	1.56742854095055E-04
-4	0	-18	-0.054435002781342	-2.35356831665576E-07	1.32812208786038E-04
-3	0	-18	-5.44276685445375E-02	-8.78971309191851E-08	1.03902715119736E-04
-2	0	-18	-5.44121458553654E-02	-1.70047866385389E-08	7.11505583293791E-05
-1	0	-18	-5.43988147160093E-02	-4.86840585945603E-08	3.57625007988329E-05
0	0	-18	-5.43933224802636E-02	-2.3186427789897E-08	-9.29981203482106E-07
1	0	-18	-5.43974631080391E-02	1.24065594375347E-08	-3.76220272790281E-05
2	0	-18	-5.44094215110876E-02	1.1213386157761E-07	-7.29618115465608E-05
3	0	-18	-5.44234935373791E-02	1.75943911821796E-07	-1.05576316314686E-04
4	0	-18	-0.054429463241402	1.25842309566664E-07	-1.34273797537304E-04
5	0	-18	-5.44104889152172E-02	3.67543879631507E-07	-1.57920392902775E-04
