fieldmap_name:     	Calibration Bz
timestamp:         	2021-04-20_12-13-12
filename:          	2021-04-20_Calibration_Bz_I=60A_Y=0mm_X=-25_25mm_Z=-15_15mm.txt
MagNet_file:       	Calibration_Bz.mn
nr_magnets:        	1

magnet_name:       	Calibration
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-25	0	-15	1.54970030765443E-03	5.74091355582121E-06	-3.47483661428437E-02
-24	0	-15	1.2085009780378E-03	7.14222031221517E-07	-3.45181271372086E-02
-23	0	-15	9.43486633085727E-04	-1.16596101653896E-05	-3.43282424358496E-02
-22	0	-15	7.78264051535143E-04	-1.60923961400954E-06	-3.41683284568496E-02
-21	0	-15	6.06487195190002E-04	2.33166428690288E-06	-3.40507592104842E-02
-20	0	-15	4.88231036872935E-04	-7.51997345436413E-06	-3.39348005995097E-02
-19	0	-15	3.87868325987233E-04	1.44273790585484E-05	-0.033833594287907
-18	0	-15	3.21313451943538E-04	1.34561983163326E-05	-3.37638376737547E-02
-17	0	-15	2.6797587747983E-04	-1.81307624636076E-05	-3.37243016294884E-02
-16	0	-15	2.40569495584597E-04	-3.96574427286935E-05	-3.36644222708058E-02
-15	0	-15	1.87543854964217E-04	1.98309976082165E-05	-3.36165061280327E-02
-14	0	-15	1.70157475815269E-04	5.11600315036832E-06	-3.35826516157505E-02
-13	0	-15	1.491992784316E-04	1.30003226337156E-05	-3.35695229408609E-02
-12	0	-15	1.31055093262672E-04	7.91551467627348E-06	-3.35458400106802E-02
-11	0	-15	1.23132135197261E-04	6.82085060805239E-06	-3.35411014839698E-02
-10	0	-15	1.12161978784947E-04	1.47063449869636E-05	-3.35229350200765E-02
-9	0	-15	8.19504699784471E-05	4.79955350580612E-06	-3.34974111141688E-02
-8	0	-15	7.45097671767916E-05	6.85891914074141E-06	-3.34728705598547E-02
-7	0	-15	7.7211847042538E-05	1.69878921256697E-05	-3.34781139608139E-02
-6	0	-15	7.6162779477106E-05	-1.25513219132562E-05	-3.34875603204826E-02
-5	0	-15	6.84974265894426E-05	1.30922554900858E-05	-3.34762653411332E-02
-4	0	-15	8.8483658606399E-05	3.63116739476885E-05	-0.033461290731889
-3	0	-15	6.9427168900246E-05	1.17722065328631E-06	-3.34768364559529E-02
-2	0	-15	5.93929129519712E-05	1.46824819178628E-05	-3.34823374561892E-02
-1	0	-15	5.24953223469635E-05	9.96823366844816E-06	-3.34761010801506E-02
0	0	-15	5.92692615980996E-05	2.04702030718068E-05	-3.34803174042835E-02
1	0	-15	6.06463578614296E-05	-3.35808489157763E-06	-3.34784185617569E-02
2	0	-15	6.11958163257875E-05	3.47043508463588E-06	-3.34714924640322E-02
3	0	-15	6.75009007326219E-05	1.43809511366936E-05	-3.34657266925949E-02
4	0	-15	5.99445826588298E-05	1.04316695697566E-05	-3.34826950908207E-02
5	0	-15	5.90674926520075E-05	3.08425459327128E-06	-3.34963210662249E-02
6	0	-15	5.46049932581026E-05	1.31439275038026E-05	-3.34926349369989E-02
7	0	-15	3.39871329619368E-05	5.76193492221999E-06	-3.34670670692191E-02
8	0	-15	2.99663375384394E-05	-2.86937793961447E-05	-3.34563018888344E-02
9	0	-15	6.82894633886786E-05	1.36741024171707E-05	-3.34758834489925E-02
10	0	-15	4.30580705919229E-05	1.06782088020765E-05	-3.35142945828709E-02
11	0	-15	3.59337700165714E-05	-5.80504302988419E-05	-3.35331110754846E-02
12	0	-15	4.38303355936398E-05	-7.69811830347986E-07	-3.35342905237629E-02
13	0	-15	2.12112854389622E-05	-3.53013477385347E-05	-3.35333855802265E-02
14	0	-15	1.14152668448041E-06	1.78378672120808E-05	-3.35301667428847E-02
15	0	-15	2.93123918210014E-06	1.46603691681385E-05	-3.35312733894261E-02
16	0	-15	1.524283820929E-06	3.70841873101559E-06	-3.35605188801816E-02
17	0	-15	-9.2448447212691E-06	1.21885100669817E-05	-3.35766451454511E-02
18	0	-15	-2.31964449204039E-05	9.38248197828393E-06	-3.36065245912316E-02
19	0	-15	-3.40183443854212E-05	-8.6945906105989E-06	-3.36346800484223E-02
20	0	-15	-8.78615817486258E-05	2.47585706833082E-05	-3.36543100003902E-02
21	0	-15	-1.05682196171258E-04	1.74161984999693E-05	-3.36764194049679E-02
22	0	-15	-1.37511251017497E-04	1.23470196127206E-05	-3.37286060030162E-02
23	0	-15	-1.80653034433731E-04	8.45304196874068E-06	-3.37823594843841E-02
24	0	-15	-2.41567941453642E-04	1.3928538780904E-05	-3.38466248126878E-02
25	0	-15	-3.08600086321326E-04	1.18551497379166E-05	-3.39188562371135E-02
-25	0	-14	1.80612125355589E-03	6.34677072244026E-06	-4.15689894096771E-02
