fieldmap_name:     	Calibration Bz
timestamp:         	2021-04-20_11-55-48
filename:          	2021-04-20_Calibration_Bz_I=125A_Y=0mm_X=-25_25mm_Z=-15_15mm.txt
MagNet_file:       	Calibration_Bz.mn
nr_magnets:        	1

magnet_name:       	Calibration
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-25	0	-15	3.19656298782841E-03	1.18414901332722E-05	-7.16744344111143E-02
-24	0	-15	2.49247836270758E-03	1.47264716256107E-06	-0.071199416653044
-23	0	-15	1.94559861552774E-03	-2.40495048322068E-05	-7.08076490145394E-02
-22	0	-15	1.60459655055386E-03	-3.31939462009551E-06	-7.04777099525137E-02
-21	0	-15	1.25011036061117E-03	4.80948132026911E-06	-7.02351200589546E-02
-20	0	-15	1.00603863295493E-03	-1.55110967337179E-05	-6.99958599301522E-02
-19	0	-15	7.98889052000817E-04	2.97588349800699E-05	-0.069787032009663
-18	0	-15	6.61481942503533E-04	2.77556257698782E-05	-6.96430759273041E-02
-17	0	-15	5.51346518623401E-04	-3.73984023213314E-05	-6.95614576490093E-02
-16	0	-15	4.94699249146409E-04	-8.17943941951571E-05	-6.94378726071589E-02
-15	0	-15	3.85213559725491E-04	4.09041716246839E-05	-6.93389659744305E-02
-14	0	-15	3.49234735332653E-04	1.0552790682269E-05	-6.92690618557568E-02
-13	0	-15	3.05887796892206E-04	2.68150778431545E-05	-6.92419035109412E-02
-12	0	-15	2.68343732447292E-04	1.6327052965487E-05	-6.91929738198373E-02
-11	0	-15	2.51881342248913E-04	1.40697263948451E-05	-6.91831164959174E-02
-10	0	-15	2.29134225225584E-04	3.03335462197674E-05	-6.91455588951033E-02
-9	0	-15	1.66695444399498E-04	9.90020742486219E-06	-6.90928209683612E-02
-8	0	-15	1.51223512485762E-04	1.4147139197637E-05	-6.90421088717261E-02
-7	0	-15	1.56667986697693E-04	3.50394815275568E-05	-6.90528225009976E-02
-6	0	-15	1.54372992119121E-04	-2.58881050084067E-05	-6.90722000552722E-02
-5	0	-15	1.38428094445581E-04	2.70041959152953E-05	-6.90487918935864E-02
-4	0	-15	1.79512714695638E-04	7.48958873354866E-05	-6.90177878724101E-02
-3	0	-15	1.4006384867773E-04	2.42843688567895E-06	-6.90497291298979E-02
-2	0	-15	1.1922175092418E-04	3.02845966836298E-05	-6.90609450628489E-02
-1	0	-15	1.0484510221981E-04	2.05606167205771E-05	-6.90479461131212E-02
0	0	-15	1.1866345681958E-04	4.22219120495746E-05	-6.90564991674023E-02
1	0	-15	1.21347949801997E-04	-6.9254679122463E-06	-0.06905243217406
2	0	-15	1.22326904668494E-04	7.15873750349311E-06	-6.90379892195237E-02
3	0	-15	1.35164882813832E-04	2.96619701236104E-05	-6.90259285427113E-02
4	0	-15	1.19416221813936E-04	2.15159919973832E-05	-6.90607508338335E-02
5	0	-15	1.17441627087868E-04	6.36121404320253E-06	-6.90886699881756E-02
6	0	-15	1.08070166020212E-04	2.71099764406314E-05	-6.90808728459423E-02
7	0	-15	6.53737926983198E-05	1.18843342204193E-05	-6.90279350020392E-02
8	0	-15	5.69071250008402E-05	-5.91819735075629E-05	-6.90055150726613E-02
9	0	-15	1.35774307069501E-04	2.8203206206341E-05	-6.90456795262566E-02
10	0	-15	8.35635840267572E-05	2.20234766448171E-05	-6.91246658562973E-02
11	0	-15	6.86965060925949E-05	-1.19726162683663E-04	-6.91632244878226E-02
12	0	-15	8.48138149902612E-05	-1.58742647861635E-06	-6.91653941409483E-02
13	0	-15	3.79963456176746E-05	-7.28074648973684E-05	-6.91632522241353E-02
14	0	-15	-3.56128338273211E-06	3.67903551423409E-05	-6.91563230797502E-02
15	0	-15	-2.8158491814439E-08	3.02359452715222E-05	-6.91582993502551E-02
16	0	-15	-3.07735198557292E-06	7.64745361332598E-06	-6.92182992133236E-02
17	0	-15	-2.54259638905751E-05	2.51387739218539E-05	-6.92512176772114E-02
18	0	-15	-5.43251951137763E-05	1.93502642294761E-05	-0.069312484342137
19	0	-15	-7.67497189112872E-05	-1.79316922171609E-05	-6.93701779914308E-02
20	0	-15	-1.87883107845169E-04	5.106214659264E-05	-6.94102675526637E-02
21	0	-15	-2.24697940547448E-04	3.59190325981272E-05	-6.94554491139162E-02
22	0	-15	-2.90372748803285E-04	2.546624032505E-05	-6.95626397107888E-02
23	0	-15	-3.79344161344841E-04	1.74339492938044E-05	-0.069673036977752
24	0	-15	-5.04928431947705E-04	2.8724677286225E-05	-6.98050892380663E-02
25	0	-15	-6.43069707544658E-04	2.44485853048713E-05	-6.99535441991333E-02
-25	0	-14	3.72557739558723E-03	1.30908553634147E-05	-8.57428681334361E-02
-24	0	-14	2.93820642430927E-03	-1.50135218771817E-06	-8.52514258117338E-02
-23	0	-14	0.002331220920893	2.52926680333132E-05	-8.48368607467646E-02
-22	0	-14	1.88257406968064E-03	1.89827061582608E-05	-8.44857069521003E-02
-21	0	-14	1.49198439044518E-03	5.33633216997959E-06	-8.42046264463881E-02
-20	0	-14	1.21054809236942E-03	8.9577181800659E-06	-0.083980122624456
-19	0	-14	9.77721019933646E-04	1.66212406424892E-05	-8.37786962165342E-02
-18	0	-14	8.11817724555394E-04	1.09863309206553E-05	-8.36150021497451E-02
-17	0	-14	6.69847157419408E-04	-3.09202951532835E-06	-8.34742880522674E-02
-16	0	-14	5.62815938401282E-04	6.56751983034682E-06	-0.083356903979164
-15	0	-14	4.7161752458375E-04	5.32880396220882E-06	-8.32748949226904E-02
-14	0	-14	4.00812774856479E-04	-1.22814339497957E-05	-8.32077525011631E-02
-13	0	-14	3.41412716291801E-04	2.55407836809742E-05	-8.31434642633692E-02
-12	0	-14	3.05742940174883E-04	2.32934003710993E-07	-8.30962118374945E-02
-11	0	-14	2.8475913412825E-04	-2.71126126091746E-06	-8.30602921874886E-02
-10	0	-14	2.57000840432604E-04	1.38618689135201E-05	-8.30389511428321E-02
-9	0	-14	2.11932824742952E-04	-5.17380869773578E-06	-0.083018782294914
