fieldmap_name:     	Calibration Bx
timestamp:         	2021-04-20_09-58-32
filename:          	2021-04-20_Calibration_Bx_I=10A_Y=0mm_X=-15_15mm_Z=-25_25mm.txt
MagNet_file:       	Calibration_Bx.mn
nr_magnets:        	1

magnet_name:       	Calibration
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-15	0	-25	-5.53349156111499E-03	3.01100211394518E-06	6.95128137772931E-05
-14	0	-25	-6.6441614377425E-03	1.82038384296448E-06	8.56968886420284E-05
-13	0	-25	-7.52297413986141E-03	-9.30921726285277E-07	1.01720889693215E-04
-12	0	-25	-8.13754801153764E-03	-5.82332555871774E-07	1.15695615467708E-04
-11	0	-25	-8.53299708074598E-03	-4.71567156399476E-07	1.2675947366186E-04
-10	0	-25	-8.77353102916643E-03	-2.69302104408179E-07	1.3432109500992E-04
-9	0	-25	-8.91202669966549E-03	-2.74337281872831E-07	1.37590235431805E-04
-8	0	-25	-8.98569799338702E-03	-1.71365940582968E-07	1.36295910883067E-04
-7	0	-25	-9.01944676025018E-03	-5.69929493968623E-08	1.30455697700064E-04
-6	0	-25	-9.02938044839465E-03	-6.24716832039692E-08	1.20363853838294E-04
-5	0	-25	-9.02603302705828E-03	3.80749527955836E-08	1.06436385333871E-04
-4	0	-25	-9.01641579141103E-03	8.32927258602748E-09	8.91785594260284E-05
-3	0	-25	-9.00510611341963E-03	-1.76753110785369E-08	6.92428241973699E-05
-2	0	-25	-8.99520641733884E-03	-1.98679401328611E-08	4.72628131297927E-05
-1	0	-25	-8.98854490677873E-03	-5.67522400631535E-09	2.39045856723409E-05
0	0	-25	-8.98616032637676E-03	3.91958308420663E-09	-1.36521384686734E-07
1	0	-25	-8.98840171701146E-03	5.91762225632765E-09	-2.41748477426665E-05
2	0	-25	-8.99491895721594E-03	4.44696345200996E-09	-4.75055520350613E-05
3	0	-25	-9.0046766297754E-03	1.159826335089E-09	-6.94472297530874E-05
4	0	-25	-9.01582600668434E-03	-2.40191887761281E-08	-8.93180956655515E-05
5	0	-25	-9.02530049261831E-03	3.33372127266194E-08	-1.06487080253136E-04
6	0	-25	-9.02848970183281E-03	1.13313498822377E-07	-1.20337800185312E-04
7	0	-25	-9.01841686899474E-03	8.63600452310227E-08	-1.30328574116928E-04
8	0	-25	-8.98449138943816E-03	2.74012332689954E-07	-1.36033404613354E-04
9	0	-25	-8.91057398763093E-03	3.7937579031593E-07	-1.37246570125521E-04
10	0	-25	-8.77209982090581E-03	6.22108858316583E-07	-1.33982950939433E-04
11	0	-25	-8.53164004149355E-03	1.00703849728411E-06	-1.2632638981747E-04
12	0	-25	-8.13565930593341E-03	5.49572584846128E-07	-1.14714037251322E-04
13	0	-25	-7.5217887010591E-03	5.67303050913283E-08	-1.00201583410965E-04
