I[A]	Bx[T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
10	-9.10043253819843E-03
20	-1.82007271159761E-02
30	-2.72997563928398E-02
40	-3.63937910465468E-02
60	-5.45189562326745E-02
80	-7.25066065366404E-02
100	-0.090346302140232
125	-0.112441255713193
150	-0.134310017351682
180	-0.158392400018898
210	-0.180519211220426
240	-0.196115235558691
