fieldmap_name:     	Calibration Bx
timestamp:         	2021-04-20_09-30-35
filename:          	2021-04-20_Calibration_Bx_I=80A_Y=0mm_X=-15_15mm_Z=-25_25mm.txt
MagNet_file:       	Calibration_Bx.mn
nr_magnets:        	1

magnet_name:       	Calibration
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-15	0	-25	-4.40847542129416E-02	2.39874180834326E-05	5.5674723463407E-04
-14	0	-25	-5.29333806409378E-02	1.45012426490376E-05	6.85459182124447E-04
-13	0	-25	-5.99348352386451E-02	-7.41701494948368E-06	8.1287942265931E-04
-12	0	-25	-6.48311427960381E-02	-4.64265098588635E-06	9.23961863951424E-04
-11	0	-25	-6.79817028183341E-02	-3.75932486448658E-06	1.01186466496186E-03
-10	0	-25	-6.98980838843261E-02	-2.14595923500216E-06	1.07186849701748E-03
-9	0	-25	-0.071001539535226	-2.18617179400237E-06	1.09768255731956E-03
-8	0	-25	-7.15885440503149E-02	-1.36498395810249E-06	1.08715577045642E-03
-7	0	-25	-7.18574876649983E-02	-4.52553538426127E-07	1.04043106121089E-03
-6	0	-25	-7.19366962697635E-02	-4.98463563198268E-07	9.59844685384439E-04
-5	0	-25	-7.19100885537745E-02	3.04232750389726E-07	8.48720336475525E-04
-4	0	-25	-7.18335173985658E-02	6.77521662722218E-08	7.11063188801635E-04
-3	0	-25	-7.17434544909915E-02	-1.37772970048577E-07	5.520842533746E-04
-2	0	-25	-7.16646196850202E-02	-1.58436683612935E-07	3.76824647877726E-04
-1	0	-25	-7.16115661555434E-02	-4.49989230971578E-08	1.90592553918962E-04
0	0	-25	-7.15925754945647E-02	3.26783936328062E-08	-1.07945566051742E-06
1	0	-25	-7.16104254662561E-02	4.78116657137071E-08	-1.92726813346461E-04
2	0	-25	-7.16623301793223E-02	3.73458215282103E-08	-3.78737933102486E-04
3	0	-25	-7.17400360932227E-02	1.01759352692362E-08	-5.53690027109285E-04
4	0	-25	-7.18288200820753E-02	-1.94209907119981E-07	-7.121496581666E-04
5	0	-25	-7.19042498930695E-02	2.70233514209713E-07	-8.49090948499679E-04
6	0	-25	-7.19295995219359E-02	9.0608949722808E-07	-9.59610358241961E-04
7	0	-25	-7.18492828721782E-02	6.87657845971826E-07	-1.03939222048726E-03
8	0	-25	-7.15789297233549E-02	2.18593803486145E-06	-1.08504105746078E-03
9	0	-25	-7.09899622939307E-02	3.02702690232296E-06	-1.09491982981199E-03
10	0	-25	-6.98866753632193E-02	4.95916217161585E-06	-1.06914594411557E-03
11	0	-25	-6.79708835052261E-02	8.02439411929624E-06	-1.00838393380979E-03
