fieldmap_name:     	Calibration Bx
timestamp:         	2021-04-20_09-11-01
filename:          	2021-04-20_Calibration_Bx_I=180A_Y=0mm_X=-15_15mm_Z=-25_25mm.txt
MagNet_file:       	Calibration_Bx.mn
nr_magnets:        	1

magnet_name:       	Calibration
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-15	0	-25	-0.096297677024339	5.2396831322314E-05	1.22425986360514E-03
-14	0	-25	-0.115624879430294	3.16764807194004E-05	1.50440696647041E-03
-13	0	-25	-0.130917694099509	-1.61992574813912E-05	1.7815923312364E-03
-12	0	-25	-0.141612677242392	-1.01290413737307E-05	2.0230567601576E-03
-11	0	-25	-0.148494829230035	-8.20302282417118E-06	2.21389367541592E-03
-10	0	-25	-0.152681387724429	-4.68537200604666E-06	2.34389968619158E-03
-9	0	-25	-0.155092423611074	-4.77256627578973E-06	2.39937541461436E-03
-8	0	-25	-0.156375460967092	-2.98220148091575E-06	2.37562679305521E-03
-7	0	-25	-0.156963780282987	-9.93564508644022E-07	2.27297088012965E-03
-6	0	-25	-0.157137630554399	-1.0858434478533E-06	2.09653258265584E-03
-5	0	-25	-0.15708028468466	6.62074164433808E-07	1.85352745904591E-03
-4	0	-25	-0.156913723995422	1.41338504941103E-07	1.55274818907886E-03
-3	0	-25	-0.156717562986885	-3.10573350172374E-07	1.20550576001699E-03
-2	0	-25	-0.156545768751897	-3.44796512067021E-07	8.22799879995596E-04
-1	0	-25	-0.15643014856409	-9.82340191645292E-08	4.16181088875748E-04
0	0	-25	-0.156388763230711	6.74446711614141E-08	-2.27995721588714E-06
1	0	-25	-0.156427684218249	1.02803828550861E-07	-4.20691370574151E-04
2	0	-25	-0.156540819523575	7.58788081887078E-08	-8.2682574393055E-04
3	0	-25	-0.156710164402535	1.94595007062529E-08	-1.20885849034785E-03
4	0	-25	-0.156903555769536	-4.14721343119194E-07	-1.55496167814749E-03
5	0	-25	-0.157067655546594	5.74952833617836E-07	-1.85418830897166E-03
6	0	-25	-0.157122257598399	1.96817751823606E-06	-2.09583378431702E-03
7	0	-25	-0.156945991553466	1.50310386099942E-06	-2.27049559893422E-03
8	0	-25	-0.156354601239998	4.76535868136062E-06	-2.37077735560549E-03
9	0	-25	-0.155067280672278	6.59573417228168E-06	-2.39310189457173E-03
10	0	-25	-0.152656615206482	1.08216864373047E-05	-2.33771695844021E-03
11	0	-25	-0.148471335496019	1.75227793819047E-05	-2.2060594578808E-03
12	0	-25	-0.141579925096776	9.55737799761893E-06	-2.00568043136564E-03
13	0	-25	-0.130897130676139	9.85545155659672E-07	-1.75486934370355E-03
14	0	-25	-0.11562143626467	-1.37224765943315E-05	-1.48047325374676E-03
15	0	-25	-9.63213611212551E-02	2.62215165207498E-05	-1.20720016837268E-03
-15	0	-24	-9.60264182226963E-02	4.35467308118263E-05	9.70701554280811E-04
-14	0	-24	-0.115349756733805	2.83733904525237E-05	1.20659910128691E-03
-13	0	-24	-0.130682971600751	7.37686180839437E-06	1.43580078388515E-03
-12	0	-24	-0.14141301253373	-9.4786207616944E-06	1.63772847488084E-03
-11	0	-24	-0.148349970935946	-1.75225339452627E-05	1.80204163385763E-03
-10	0	-24	-0.152588079313745	5.91910047017855E-06	1.91044196653867E-03
-9	0	-24	-0.15507250202062	-7.40115368550114E-06	1.96226138881448E-03
-8	0	-24	-0.15643116211819	-4.50540005513387E-06	1.94801649567058E-03
-7	0	-24	-0.157088348998487	-4.8886485950343E-07	1.86878835237811E-03
-6	0	-24	-0.157326967464573	-6.47368397263193E-07	1.72829607346158E-03
-5	0	-24	-0.157327525121817	-2.09448613174224E-07	1.53167441566963E-03
-4	0	-24	-0.15720941848413	-5.9220592249458E-07	1.28596776164986E-03
-3	0	-24	-0.15705171127976	6.69351781114024E-08	1.00005448058258E-03
-2	0	-24	-0.156907625754288	-2.14510205114604E-07	6.8314526186871E-04
-1	0	-24	-0.156808701922527	-1.00649010769194E-07	3.45696161693064E-04
0	0	-24	-0.156772822782521	-7.00209856759517E-08	-2.1369623522953E-06
1	0	-24	-0.156805851441871	-1.26131503351659E-07	-3.49845230749827E-04
2	0	-24	-0.156902245638655	9.17530018561483E-08	-6.86924025144794E-04
3	0	-24	-0.157043795010738	5.15849988076073E-07	-1.00297754416104E-03
4	0	-24	-0.15719793401528	7.06704293569904E-07	-1.28811991842475E-03
5	0	-24	-0.157313412377759	7.46411703387329E-07	-1.53240537466062E-03
6	0	-24	-0.157310322751481	2.30017052219364E-06	-1.7276251286532E-03
7	0	-24	-0.157068389640699	3.05251265055782E-06	-1.86711772935179E-03
8	0	-24	-0.15640593056664	2.64475722424393E-06	-1.94344752445188E-03
9	0	-24	-0.155044721695067	4.07651060203284E-07	-1.95592330086557E-03
10	0	-24	-0.152558659533176	1.04204661849472E-05	-1.9032262166896E-03
