I[A]	By[T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
10	0.149040786332768
15	0.223506114842916
30	0.445601957682189
45	0.663572820446419
60	0.87640312381835
75	1.07997452297103
90	1.26193901290726
110	1.44974085808987
140	1.64353607335626
180	1.80522004376267
230	1.9109548642947
300	1.9800114698817
