X[mm]	Y[mm]	IBx[G.cm]	IBy[G.cm]	IBz[G.cm]
-8.	-7.	36.74808266	-86.45876569	1.958909289e-10
-7.	-7.	33.07224289	-92.51779674	4.208827906e-10
-6.	-7.	28.98096262	-97.83197641	-6.913829447e-11
-5.	-7.	24.56534834	-102.3585636	-8.509825268e-11
-4.	-7.	19.90512557	-106.0736649	2.442802862e-10
-3.	-7.	15.06740989	-108.9660033	1.165109486e-10
-2.	-7.	10.10767251	-111.0317335	1.358871207e-10
-1.	-7.	5.071999055	-112.2706068	5.939738102e-10
0.	-7.	-3.285764573e-9	-112.6834245	2.631483068e-10
1.	-7.	-5.07199906	-112.2706068	4.927984184e-10
2.	-7.	-10.10767251	-111.0317334	-9.978899044e-10
3.	-7.	-15.0674099	-108.9660033	-1.456635401e-9
4.	-7.	-19.9051256	-106.0736649	-2.349706366e-10
5.	-7.	-24.56534833	-102.3585636	6.102032319e-12
6.	-7.	-28.98096263	-97.83197639	1.824092571e-10
7.	-7.	-33.07224294	-92.51779673	-7.517837122e-10
8.	-7.	-36.74808267	-86.45876565	-2.017991863e-10
9.	-7.	-39.91033752	-79.72278335	4.561427413e-10
10.	-7.	-42.46164314	-72.40756573	1.437449214e-9
-10.	-6.	35.22363286	-70.4071474	1.830094648e-10
-9.	-6.	33.15332089	-77.12730705	6.071429426e-10
-8.	-6.	30.58006347	-83.3479296	-3.202583064e-10
-7.	-6.	27.57477755	-88.97730557	9.237020829e-10
-6.	-6.	24.21119722	-93.94578071	2.57060606e-10
-5.	-6.	20.56035223	-98.20353494	-7.915345783e-10
-4.	-6.	16.68702087	-101.7169725	3.15521628e-10
-3.	-6.	12.64817623	-104.4647384	7.971600521e-10
-2.	-6.	8.493049956	-106.4340823	-2.98719924e-10
-1.	-6.	4.264321676	-107.6179467	-4.184058057e-10
0.	-6.	-2.993987766e-9	-108.0129046	3.427615722e-11
1.	-6.	-4.264321681	-107.6179467	-1.262057002e-9
2.	-6.	-8.493049961	-106.4340823	-4.536453608e-10
3.	-6.	-12.64817623	-104.4647384	7.978912503e-10
4.	-6.	-16.68702087	-101.7169725	8.908618711e-11
5.	-6.	-20.56035223	-98.20353488	5.833408272e-10
6.	-6.	-24.21119722	-93.9457807	6.46032212e-11
7.	-6.	-27.57477754	-88.9773056	-1.195562417e-10
8.	-6.	-30.58006345	-83.34792959	7.915947847e-10
9.	-6.	-33.15332091	-77.12730709	7.076001754e-10
10.	-6.	-35.22363285	-70.40714744	4.684641188e-10
-10.	-5.	28.55262586	-68.79579921	2.598353506e-10
-9.	-5.	26.90085637	-75.03501164	7.495356498e-10
-8.	-5.	24.84450156	-80.83199678	-4.789401517e-10
-7.	-5.	22.43509713	-86.10097126	4.645712827e-10
-6.	-5.	19.72759689	-90.77293043	-1.267728587e-10
-5.	-5.	16.7764959	-94.79476319	1.512804505e-10
-4.	-5.	13.63310811	-98.1272761	-7.558842335e-10
-3.	-5.	10.34411339	-100.7427316	8.800722652e-10
-2.	-5.	6.951240924	-102.6224035	4.280231953e-10
-1.	-5.	3.491830944	-103.754485	-3.110974574e-10
0.	-5.	-3.989165039e-9	-104.1325266	-3.620299945e-10
1.	-5.	-3.491830951	-103.754485	3.414379724e-11
2.	-5.	-6.951240934	-102.6224036	-6.185185249e-10
3.	-5.	-10.3441134	-100.7427316	1.838828831e-10
4.	-5.	-13.63310811	-98.12727615	-2.854593121e-10
5.	-5.	-16.77649591	-94.79476317	2.355406187e-10
6.	-5.	-19.72759688	-90.77293039	3.903782815e-10
7.	-5.	-22.43509716	-86.10097127	-6.095268898e-10
8.	-5.	-24.84450157	-80.83199677	-9.178628958e-11
9.	-5.	-26.90085638	-75.03501164	1.055007233e-9
10.	-5.	-28.55262587	-68.79579919	2.249100083e-10
-10.	-4.	22.33185494	-67.52705593	-8.681216893e-10
-9.	-4.	21.05431066	-73.38758226	-2.546992131e-10
-8.	-4.	19.4625373	-78.84682968	8.792478333e-11
-7.	-4.	17.59340196	-83.82424342	3.215164309e-10
-6.	-4.	15.4870301	-88.25245043	3.367732399e-10
-5.	-4.	13.18412171	-92.07713069	3.863917648e-10
-4.	-4.	10.72395246	-95.2560401	6.632376871e-10
-3.	-4.	8.143180142	-97.75755754	-5.826599244e-10
-2.	-4.	5.475422164	-99.55910265	6.706429615e-10
-1.	-4.	2.751474022	-100.6456911	-7.129552465e-10
0.	-4.	-2.89231482e-9	-101.0088066	4.929614136e-10
1.	-4.	-2.75147403	-100.645691	5.464121087e-11
2.	-4.	-5.475422169	-99.55910264	-2.521226606e-10
3.	-4.	-8.143180152	-97.75755759	4.058056015e-10
4.	-4.	-10.72395247	-95.25604009	-4.335795385e-10
5.	-4.	-13.18412173	-92.07713063	-5.493161251e-10
6.	-4.	-15.48703011	-88.2524504	-4.535497082e-10
